round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss,Loacl epoch
0,0.1,2.3038,,,,,,,
1,0.2978,1.9265,0.3017,1.9289,2.5498,2.5498,73.159,21.826,
2,0.4198,1.5704,0.4173,1.589,1.0118,1.0118,44.862,17.272,
3,0.4966,1.399,0.489,1.4072,0.8987,0.8987,42.658,14.546,
4,0.5404,1.2898,0.5369,1.3,0.8808,0.8808,41.97,12.736,
5,0.571,1.2137,0.5719,1.2264,1.6955,1.6955,51.932,11.457,
6,0.602,1.1574,0.602,1.1723,1.5885,1.5885,61.19,9.7584,
7,0.6146,1.168,0.6122,1.1845,1.6154,1.6154,58.706,7.8431,
8,0.6231,1.2426,0.623,1.2534,1.7607,1.7607,59.298,5.9616,
9,0.6273,1.3786,0.6307,1.3738,1.5849,1.5849,59.137,4.222,
10,0.6328,1.4987,0.6347,1.5069,1.5585,1.5585,57.909,2.9459,
