round,accuracy,loss,eval_acc,eval_loss,time_evaluate_record,total_duration,time_train_record,train_loss
0,0.1155,2.3032,,,,,,
1,0.1775,2.2829,0.1778,2.283,0.71607,0.71607,48.676,22.949
2,0.2603,2.0466,0.2567,2.0454,0.48553,0.48553,40.204,22.011
3,0.3172,1.8863,0.3103,1.8922,0.51884,0.51884,37.689,19.533
4,0.3544,1.7648,0.3463,1.7761,0.47194,0.47194,32.926,18.334
5,0.3935,1.6472,0.3952,1.6615,0.48424,0.48424,33.713,17.003
6,0.4304,1.5593,0.4291,1.5739,0.49606,0.49606,33.719,15.929
7,0.4563,1.4951,0.456,1.5052,1.005,1.005,54.367,15.046
8,0.4736,1.4528,0.4744,1.4621,0.55332,0.55332,60.791,14.424
9,0.4884,1.4162,0.4884,1.4266,0.92377,0.92377,60.26,13.873
10,0.5,1.3842,0.5048,1.393,0.85537,0.85537,59.502,13.303
11,0.5173,1.3421,0.5185,1.3531,0.48047,0.48047,33.131,12.906
12,0.5285,1.3153,0.5318,1.3234,0.47794,0.47794,33.698,12.254
13,0.5498,1.277,0.5481,1.2896,0.46949,0.46949,34.665,11.865
14,0.5601,1.2459,0.5603,1.2594,0.47309,0.47309,33.059,11.148
15,0.572,1.2163,0.5723,1.231,0.48115,0.48115,32.9,10.567
16,0.5834,1.1943,0.5829,1.212,0.51873,0.51873,32.649,9.9729
17,0.5857,1.1929,0.5884,1.2098,0.4978,0.4978,33.723,9.1968
18,0.5921,1.1806,0.595,1.2003,0.50024,0.50024,33.345,8.4772
19,0.5997,1.1829,0.5998,1.2056,0.49897,0.49897,33.094,7.7765
20,0.6079,1.1947,0.6054,1.213,0.47584,0.47584,33.447,7.0854
21,0.6079,1.2122,0.6102,1.2323,0.49904,0.49904,33.968,6.3861
22,0.6142,1.2303,0.6113,1.246,0.52996,0.52996,33.701,5.7151
23,0.612,1.277,0.6137,1.2956,0.47335,0.47335,32.996,4.9623
24,0.6176,1.2931,0.6214,1.311,0.49409,0.49409,33.538,4.6573
25,0.6155,1.3332,0.6201,1.3498,0.49329,0.49329,32.721,3.9623
26,0.6217,1.3585,0.625,1.3694,0.47448,0.47448,31.795,3.6849
27,0.6208,1.3974,0.6242,1.4029,0.50999,0.50999,33.062,3.2511
28,0.6239,1.4228,0.6258,1.438,0.51444,0.51444,32.411,3.0066
29,0.6234,1.4341,0.6283,1.4417,0.46164,0.46164,31.58,2.8838
30,0.6195,1.4676,0.6318,1.466,0.48458,0.48458,32.6,2.6097
"								",,,,,,,,
