Epoch,Loss,Accuracy,Record_time_eval_and_train
1,1.7671491808793671,47.68,27.327879428863525
2,1.263028419444901,59.72,21.826099395751953
3,1.0516533274644473,62.41,22.018693923950195
4,0.899046238366412,67.57,20.6914381980896
5,0.7679633761607754,68.79,20.93165946006775
6,0.6620700372310304,69.08,20.883471965789795
7,0.5615353131343825,69.25,20.35020422935486
8,0.4702694291440783,69.35,20.80523920059204
9,0.38976913622401116,70.2,20.93656635284424
10,0.3236671274579151,70.09,20.996954917907715
